"Bloco";"Países"
"América do Sul";"Argentina"
"América Central e Caribe";"Cuba"
"Europa";"Ilha de Man"
"Europa";"Países Baixos (Holanda)"
"América Central e Caribe";"Zona do Canal do Panamá"
"África";"Ruanda"
"África";"Maurício"
"América Central e Caribe";"Cayman, Ilhas"
"África";"Etiópia"
"África";"Reunião"
"Oriente Médio";"Dubai"
"América Central e Caribe";"Bahamas"
"Oceania";"Nova Zelândia"
"África";"Tanzânia"
"Europa";"Luxemburgo"
"Europa";"Reino Unido"
"América do Sul";"Falkland (Malvinas)"
"África";"Sudão do Sul"
"América Central e Caribe";"Porto Rico"
"África";"Senegal"
"América do Sul";"Chile"
"América Central e Caribe";"República Dominicana"
"Oceania";"Papua, Território de"
"União Europeia - UE";"Dinamarca"
"Ásia (Exclusive Oriente Médio)";"Mianmar"
"Associação de Nações do Sudeste Asiático - ASEAN";"Malásia"
"América Central e Caribe";"Anguilla"
"Oceania";"Nauru"
"América Central e Caribe";"Guatemala"
"África";"Mali"
"Europa";"Belarus"
"Europa";"Estônia"
"Europa";"Malta"
"Europa";"Liechtenstein"
"Oriente Médio";"Irã"
"África";"Burkina Faso"
"União Europeia - UE";"Espanha"
"União Europeia - UE";"Inglaterra"
"África";"Guiné-Bissau"
"União Europeia - UE";"Estônia"
"Oceania";"Pitcairn"
"União Europeia - UE";"Bélgica"
"Mercado Comum do Sul - Mercosul";"Argentina"
"África";"Território Britânico do Oceano Índico"
"Oriente Médio";"Barein"
"África";"Quênia"
"América Central e Caribe";"Antígua e Barbuda"
"América Central e Caribe";"El Salvador"
"Europa";"Itália"
"Oriente Médio";"Israel"
"Ásia (Exclusive Oriente Médio)";"Azerbaijão"
"União Europeia - UE";"Canárias, Ilhas"
"Oriente Médio";"Coveite (Kuweit)"
"América Central e Caribe";"Bonaire, Saint Eustatius e Saba"
"África";"Zâmbia"
"Europa";"Moldávia"
"América Central e Caribe";"São Vicente e Granadinas"
"Ásia (Exclusive Oriente Médio)";"Taiwan (Formosa)"
"América Central e Caribe";"Santa Lúcia"
"Europa";"Islândia"
"Europa";"Portugal"
"África";"Angola"
"Associação de Nações do Sudeste Asiático - ASEAN";"Mianmar"
"Ásia (Exclusive Oriente Médio)";"Bangladesh"
"Oceania";"Samoa"
"União Europeia - UE";"Itália"
"Oriente Médio";"Líbano"
"União Europeia - UE";"Polônia"
"União Europeia - UE";"Hungria"
"Associação de Nações do Sudeste Asiático - ASEAN";"Indonésia"
"América do Sul";"Peru"
"União Europeia - UE";"Suécia"
"Associação de Nações do Sudeste Asiático - ASEAN";"Tailândia"
"Oriente Médio";"Arábia Saudita"
"América do Norte";"México"
"África";"Sudão"
"Europa";"França"
"América do Sul";"Colômbia"
"América Central e Caribe";"Trinidad e Tobago"
"Oceania";"Marshall, Ilhas"
"África";"Gana"
"Oriente Médio";"Omã"
"Oceania";"Kiribati"
"África";"Costa do Marfim"
"Ásia (Exclusive Oriente Médio)";"Camboja"
"União Europeia - UE";"Terras Austrais Francesas"
"Europa";"Faroe, Ilhas"
"Ásia (Exclusive Oriente Médio)";"Geórgia"
"Oriente Médio";"Palestina"
"América do Sul";"Guiana"
"União Europeia - UE";"Chipre"
"África";"Malavi"
"União Europeia - UE";"Alemanha"
"União Europeia - UE";"Tcheca, República"
"União Europeia - UE";"Eslováquia"
"América Central e Caribe";"Jamaica"
"Ásia (Exclusive Oriente Médio)";"Singapura"
"Oceania";"Austrália"
"Oriente Médio";"Síria"
"Europa";"Dinamarca"
"Oceania";"Papua Nova Guiné"
"União Europeia - UE";"Jersey"
"Europa";"Madeira, Ilha da"
"Oceania";"Norfolk, Ilha"
"Ásia (Exclusive Oriente Médio)";"Nepal"
"Ásia (Exclusive Oriente Médio)";"Tadjiquistão"
"Oriente Médio";"Iraque"
"América Central e Caribe";"Honduras"
"Europa";"Lituânia"
"América Central e Caribe";"Aruba"
"Mercado Comum do Sul - Mercosul";"Uruguai"
"Europa";"Iugoslávia"
"Europa";"Canárias, Ilhas"
"Europa";"Finlândia"
"Europa";"Sérvia"
"América Central e Caribe";"Saint Kitts e Nevis"
"Europa";"Eslováquia"
"Oceania";"Polinésia Francesa"
"Mercado Comum do Sul - Mercosul";"Paraguai"
"África";"Guiné"
"Associação de Nações do Sudeste Asiático - ASEAN";"Laos"
"Ásia (Exclusive Oriente Médio)";"Armênia"
"Ásia (Exclusive Oriente Médio)";"Sri Lanka"
"Europa";"Bósnia-Herzegovina"
"África";"Mauritânia"
"Ásia (Exclusive Oriente Médio)";"Malásia"
"África";"Djibuti"
"Oceania";"Salomão, Ilhas"
"Europa";"Suécia"
"Oriente Médio";"Emirados Árabes Unidos"
"Europa";"Espanha"
"Comunidade Andina das Nações - CAN";"Equador"
"Europa";"Bélgica"
"Oceania";"Micronésia"
"Europa";"Jersey"
"Europa";"Vaticano"
"América Central e Caribe";"Granada"
"África";"Seicheles"
"Europa";"Montenegro"
"União Europeia - UE";"Romênia"
"Oceania";"Midway, Ilhas"
"América Central e Caribe";"Bermudas"
"América Central e Caribe";"Martinica"
"África";"Moçambique"
"Oriente Médio";"Jordânia"
"África";"Togo"
"Ásia (Exclusive Oriente Médio)";"Filipinas"
"Ásia (Exclusive Oriente Médio)";"Coreia do Sul"
"Europa";"Aland, Ilhas"
"Europa";"Irlanda"
"África";"Zimbábue"
"Oceania";"Cook, Ilhas"
"União Europeia - UE";"Bulgária"
"União Europeia - UE";"Países Baixos (Holanda)"
"Oceania";"Wake, Ilha"
"África";"Benin"
"Associação de Nações do Sudeste Asiático - ASEAN";"Brunei"
"África";"Guiné Equatorial"
"África";"Burundi"
"Oriente Médio";"Iêmen"
"Europa";"Romênia"
"África";"Congo, República Democrática"
"América Central e Caribe";"Virgens, Ilhas (Britânicas)"
"Ásia (Exclusive Oriente Médio)";"Cazaquistão"
"América Central e Caribe";"Dominica"
"Oceania";"Wallis e Futuna, Ilhas"
"Ásia (Exclusive Oriente Médio)";"Indonésia"
"Europa";"Groenlândia"
"Europa";"Andorra"
"América do Sul";"Venezuela"
"África";"Mayotte"
"África";"Nigéria"
"Ásia (Exclusive Oriente Médio)";"Timor Leste"
"África";"Cabo Verde"
"União Europeia - UE";"Guernsey"
"Oceania";"Palau"
"União Europeia - UE";"Irlanda"
"África";"Líbia"
"África";"Serra Leoa"
"África";"Botsuana"
"África";"Santa Helena"
"União Europeia - UE";"Madeira, Ilha da"
"Oceania";"Pacífico, Ilhas do (Administração dos EUA)"
"Europa";"Suíça"
"Comunidade Andina das Nações - CAN";"Colômbia"
"União Europeia - UE";"Finlândia"
"Ásia (Exclusive Oriente Médio)";"Tailândia"
"África";"Marrocos"
"União Europeia - UE";"Lituânia"
"Europa";"Chipre"
"África";"Eritreia"
"União Europeia - UE";"Canal, Ilhas do (Guernsey)"
"África";"Egito"
"Oceania";"Tonga"
"América Central e Caribe";"Costa Rica"
"Europa";"União das Repúblicas Socialistas Soviéticas"
"América Central e Caribe";"Haiti"
"Oceania";"Toquelau"
"União Europeia - UE";"França"
"Associação de Nações do Sudeste Asiático - ASEAN";"Singapura"
"África";"Comores"
"Europa";"Rússia"
"Europa";"Mônaco"
"Ásia (Exclusive Oriente Médio)";"Afeganistão"
"União Europeia - UE";"Portugal"
"América Central e Caribe";"Virgens, Ilhas (Americanas)"
"África";"Argélia"
"Oceania";"Pacífico, Ilhas do (EUA)"
"África";"Uganda"
"Ásia (Exclusive Oriente Médio)";"Lebuan, Ilhas"
"Europa";"Albânia"
"Europa";"Inglaterra"
"Oceania";"Christmas (Navidad), Ilha"
"Ásia (Exclusive Oriente Médio)";"Maldivas"
"Ásia (Exclusive Oriente Médio)";"Laos"
"América do Sul";"Internação na Zona Franca de Manaus"
"Ásia (Exclusive Oriente Médio)";"China"
"África";"Tunísia"
"Oriente Médio";"Catar"
"Associação de Nações do Sudeste Asiático - ASEAN";"Filipinas"
"Europa";"Macedônia"
"Ásia (Exclusive Oriente Médio)";"Butão"
"Europa";"Letônia"
"Ásia (Exclusive Oriente Médio)";"Índia"
"Ásia (Exclusive Oriente Médio)";"Coreia do Norte"
"América Central e Caribe";"São Martinho, Ilha de (parte francesa)"
"África";"Gâmbia"
"África";"Gabão"
"União Europeia - UE";"Ilha de Man"
"Europa";"Terras Austrais Francesas"
"África";"São Tomé e Príncipe"
"Ásia (Exclusive Oriente Médio)";"Hong Kong"
"Ásia (Exclusive Oriente Médio)";"Vietnã"
"União Europeia - UE";"Luxemburgo"
"Ásia (Exclusive Oriente Médio)";"Quirguistão"
"Europa";"Hungria"
"América Central e Caribe";"Belize"
"Comunidade Andina das Nações - CAN";"Bolívia"
"União Europeia - UE";"Grécia"
"América do Sul";"Guiana Francesa"
"Oceania";"Pacífico, Ilhas do (Território Fideicomisso EUA)"
"Europa";"Croácia"
"África";"Lesoto"
"Oceania";"Niue"
"África";"República Centro-Africana"
"Ásia (Exclusive Oriente Médio)";"Japão"
"América Central e Caribe";"Curaçao"
"África";"Camarões"
"União Europeia - UE";"Letônia"
"América Central e Caribe";"Panamá"
"América Central e Caribe";"São Bartolomeu"
"União Europeia - UE";"Croácia"
"Europa";"Canal, Ilhas do (Jersey)"
"Associação de Nações do Sudeste Asiático - ASEAN";"Camboja"
"Oceania";"Fiji"
"Europa";"Bulgária"
"União Europeia - UE";"Aland, Ilhas"
"Europa";"Ucrânia"
"Associação de Nações do Sudeste Asiático - ASEAN";"Vietnã"
"União Europeia - UE";"Malta"
"Mercado Comum do Sul - Mercosul";"Internação na Zona Franca de Manaus"
"Europa";"Eslovênia"
"Ásia (Exclusive Oriente Médio)";"Mongólia"
"África";"Congo"
"América Central e Caribe";"Montserrat"
"Oriente Médio";"Iêmen Democrático"
"América Central e Caribe";"Nicarágua"
"Oceania";"Samoa Americana"
"Europa";"Turquia"
"América do Sul";"Uruguai"
"Ásia (Exclusive Oriente Médio)";"Paquistão"
"Ásia (Exclusive Oriente Médio)";"Macau"
"América Central e Caribe";"São Pedro e Miquelon"
"Ásia (Exclusive Oriente Médio)";"Uzbequistão"
"África";"África do Sul"
"Oceania";"Nova Caledônia"
"Oceania";"Cocos (Keeling), Ilhas"
"Europa";"Áustria"
"África";"Saara Ocidental"
"Europa";"Alemanha"
"África";"Níger"
"América do Norte";"Estados Unidos"
"Europa";"Gibraltar"
"América do Sul";"Paraguai"
"África";"Suazilândia"
"América Central e Caribe";"São Cristóvão e Névis"
"Ásia (Exclusive Oriente Médio)";"Brunei"
"Comunidade Andina das Nações - CAN";"Peru"
"América Central e Caribe";"Turcas e Caicos, Ilhas"
"Europa";"Tcheca, República"
"África";"Namíbia"
"América do Sul";"Equador"
"Europa";"Guernsey"
"África";"Libéria"
"América do Sul";"Bolívia"
"Oceania";"Guam"
"América do Norte";"Canadá"
"Oceania";"Marianas do Norte, Ilhas"
"África";"Madagascar"
"Europa";"Alemanha Oriental"
"África";"Somália"
"Oceania";"Vanuatu"
"América Central e Caribe";"Guadalupe"
"América Central e Caribe";"Sint Maarten"
"União Europeia - UE";"Eslovênia"
"América do Sul";"Suriname"
"Oceania";"Johnston, Ilhas"
"África";"Chade"
"Europa";"Polônia"
"Europa";"Canal, Ilhas do (Guernsey)"
"União Europeia - UE";"Áustria"
"Oceania";"Tuvalu"
"Europa";"San Marino"
"América Central e Caribe";"Barbados"
"Europa";"Tchecoslováquia"
"Ásia (Exclusive Oriente Médio)";"Turcomenistão"
"América Central e Caribe";"Antilhas Holandesas"
"Europa";"Noruega"
"Europa";"Grécia"
"Europa";"Alboran-Perejil, Ilhas"
